id;updated;type;band;mode;network;network_id;district;call;city;channel;output;tx_shift;access;status;lat;lng;locator;masl;magl;watt_pep;dir;ant;backup
543;"2020-07-04";"Repeater";2;"FM";"";"";7;"SK5CN/R";"Hultsfred / Gåskullen";"RV61";145.7625;-0.6;"1750 / DTMF 5";"QRV";57.4948;15.8416;"JO77WL";"";"";"";"";"";2
545;"2024-02-23";"Repeater";2;"FM";"";"";7;"SK7GH/R";"Bredaryd";"RV55";145.6875;-0.6;156.7;"QRV";57.1709;13.742;"JO67UE";158;15;20;"Omni";"2 stackade dipoler 5dBi";1
546;"2026-02-17";"Repeater";2;"FM";"";"";7;"SK7DL/R";"Emmaboda";"RV62";145.775;-0.6;1750;"QRV";56.6314;15.5044;"JO76SP";"";"";"";"";"";1
548;"";"Repeater";2;"FM";"";"";7;"SL7ZXW/R";"Nybro";"RV55";145.6875;-0.6;1750;"QRV";56.6875;15.7917;"JO76VQ";"";"";"";"";"";0
550;"2023-06-19";"Repeater";70;"FM";"SvxReflector";"";2;"SK2RMR";"Storuman";"RU380";434.75;-2;"1750 / 107.2";"QRV";65.097;17.14;"JP85NC";510;30;80;"290 deg";"Aerial OY AV1914-H (4 stack 10dBi)";2
551;"";"Repeater";2;"FM";"";"";3;"SM3VAC/R";"Nyland";"RV60";145.75;-0.6;1750;"QRV";63.01;17.74;"JP83UA";"";"";"";"";"";0
552;"";"Repeater";70;"FM";"";"";3;"SM3VAC/R";"Nyland";"RU396";434.95;-1.6;1750;"QRV";63.01;17.74;"JP83UA";"";"";"";"";"";0
554;"2025-08-07";"Repeater";70;"FM";"";"";7;"SM7LNT/R";"Mörrum";"RU386";434.825;-2;79.7;"QRT";56.1886;14.7473;"JO76IE";"";"";17;"";"";0
585;"2017-01-11";"Repeater";70;"FM";"";"";2;"SK2RME";"Piteå";"RU368";434.6;-2;"1750 / 107.2";"QRV";65.3125;21.4959;"KP05RH";70;16;10;"Omni";"";0
589;"2022-10-19";"Repeater";70;"FM";"";"";6;"SK6RDG";"Guldheden";"RU398";434.975;-2;"1750 / 114.8";"QRV";57.678;11.9783;"JO57XQ";120;50;"";"";"";0
590;"2017-06-05";"Repeater";2;"FM";"";"";6;"SK6ROY";"Kinnekulle";"RV48";145.6;-0.6;"1750 / 114.8";"QRV";58.6;13.41;"JO68QO";"";"";"";"";"";0
591;"2018-01-08";"Repeater";2;"FM";"Echolink";911050;4;"SK4HV/R";"Hagfors / Värmullsåsen";"RV54";145.675;-0.6;"1750 / 114.8";"QRV";60.0225;13.7602;"JP60VA";"";"";"";"";"";0
592;"";"Repeater";2;"FM";"";"";6;"SK6LK/R";"Borås";"RV62";145.775;-0.6;"1750 / 114.8";"QRV";57.742;13.005;"JO67MR";"";"";"";"";"RX: GP / TX: dipoler 4-stack";0
593;"2022-03-12";"Repeater";2;"FM";"";"";6;"SK6RIC";"Alingsås";"RV50";145.625;-0.6;"1750 / 114.8";"QRV";57.93;12.5362;"JO67GW";"";"";"";"";"";0
594;"2022-03-12";"Repeater";70;"FM";"SvxReflector";"";6;"SK6RIC";"Alingsås";"RU370";434.625;-2;"1750 / 114.8";"QRV";57.93;12.5362;"JO67GW";"";"";"";"";"";0
595;"2022-10-19";"Repeater";6;"FM";"";"";6;"SK6RFQ";"Guldheden";"RF87";51.87;-0.6;"1750 / 114.8 / DTMF 6";"QRV";57.6785;11.9787;"JO57XQ";120;50;40;"";"Dipole";0
596;"2025-06-11";"Repeater";2;"FM";"";"";6;"SK6RJW";"Kungsbacka";"RV58";145.725;-0.6;114.8;"QRV";57.4874;12.077;"JO67AL";37;20;25;"Omni";"Diamond X-300 8.9 dBi";2
603;"2016-03-19";"Repeater";70;"FM";"";"";3;"SK3RQE";"Forsa / Storberget";"RU374";434.675;-2;"1750 / 127.3";"QRV";61.688;16.875;"JP81KQ";"";"";"";"";"";0
605;"2024-09-25";"Repeater";2;"FM";"SvxReflector";"";3;"SK3RQE";"Forsa / Storberget";"RV54";145.675;-0.6;"1750 / 127.3";"QRV";61.688;16.875;"JP81KQ";"";"";"";"";"";0
606;"2022-03-27";"Repeater";70;"FM";"SvxReflector";"";3;"SK3GW";"Gävle";"RU390";434.875;-2;"1750 / 127.3 / DTMF *";"QRV";60.6422;17.1302;"JP80NP";150;93;30;"Omni";"";2
607;"2022-03-27";"Repeater";70;"FM";"SvxReflector";"";3;"SK3GK";"Sandviken";"RU386";434.825;-2;"1750 / 127.3 / DTMF *";"QRV";60.75;16.49;"JP80FS";322;14;40;"Omni";"X-300";2
610;"2022-10-01";"Repeater";2;"FM";"Echolink / SvxReflector";24393;7;"SK7HW/R";"Växjö / Hollstorp";"RV54";145.675;-0.6;"1750 / 156.7";"QRV";56.8666;14.8833;"JO76KU";205;180;20;"";"4 x dipoler";0
611;"2015-07-09";"Repeater";2;"FM";"";"";7;"SK7IJ/R";"Vetlanda";"RV50";145.625;-0.6;"1750 / 156.7";"QRV";57.499;15.244;"JO77OL";"";"";"";"";"";0
612;"2025-11-05";"Repeater";70;"FM";"";"";7;"SK7RGI";"Huskvarna";"RU380";434.75;-2;"1750 / 156.7 / DTMF 6";"QRV";57.8233;14.2934;"JO77DT";345;14;20;"Omni";"Colinjär GP +8dBi";1
